,timestamp,count,in_china
12088,2016-09-19,116,1
12090,2016-09-19,121,1
12091,2016-09-19,115,1
12092,2016-09-19,118,1
12093,2016-09-19,117,1
12094,2016-09-19,116,1
12099,2016-09-19,93,1
12100,2016-09-19,124,1
12101,2016-09-19,120,1
12102,2016-09-19,121,1
12103,2016-09-19,83,1
12107,2016-09-19,132,1
12108,2016-09-19,119,1
12110,2016-09-19,82,1
12116,2016-09-19,130,1
12117,2016-09-19,136,1
12120,2016-09-19,113,1
12121,2016-09-19,127,1
12134,2016-09-19,91,1
12141,2016-09-19,91,1
12143,2016-09-19,103,1
12144,2016-09-19,109,1
12145,2016-09-19,88,1
12146,2016-09-19,88,1
12147,2016-09-19,117,1
12148,2016-09-19,104,1
12149,2016-09-19,106,1
12150,2016-09-19,105,1
12151,2016-09-19,97,1
12154,2016-09-19,83,1
12160,2016-09-20,125,1
12161,2016-09-20,131,1
12162,2016-09-20,143,1
12163,2016-09-20,120,1
12164,2016-09-20,97,1
12165,2016-09-20,129,1
12166,2016-09-20,109,1
12167,2016-09-20,119,1
12169,2016-09-20,134,1
12175,2016-09-20,95,1
12181,2016-09-20,110,1
12182,2016-09-20,115,1
12183,2016-09-20,108,1
12184,2016-09-20,117,1
12185,2016-09-20,114,1
12186,2016-09-20,113,1
12187,2016-09-20,112,1
12188,2016-09-20,118,1
12189,2016-09-20,113,1
12190,2016-09-20,116,1
12191,2016-09-20,116,1
12192,2016-09-20,116,1
12193,2016-09-20,111,1
12196,2016-09-20,104,1
12199,2016-09-20,109,1
12200,2016-09-20,121,1
12201,2016-09-20,121,1
12202,2016-09-20,136,1
12204,2016-09-20,92,1
12206,2016-09-20,137,1
12207,2016-09-20,128,1
12208,2016-09-20,127,1
12209,2016-09-20,127,1
12214,2016-09-20,81,1
12218,2016-09-20,108,1
12219,2016-09-20,81,1
12223,2016-09-20,109,1
12224,2016-09-20,110,1
12225,2016-09-20,122,1
12226,2016-09-20,126,1
12229,2016-09-20,115,1
12230,2016-09-20,81,1
12231,2016-09-20,107,1
12232,2016-09-20,132,1
12233,2016-09-20,130,1
12242,2016-09-20,100,1
12246,2016-09-20,127,1
12247,2016-09-20,109,1
12249,2016-09-20,117,1
12250,2016-09-20,102,1
12252,2016-09-20,111,1
12253,2016-09-20,105,1
12254,2016-09-20,110,1
12255,2016-09-20,115,1
12258,2016-09-20,82,1
12262,2016-09-21,118,1
12265,2016-09-21,119,1
12266,2016-09-21,90,1
12268,2016-09-21,115,1
12269,2016-09-21,98,1
12271,2016-09-21,136,1
12274,2016-09-21,140,1
12277,2016-09-21,147,1
12278,2016-09-21,140,1
12279,2016-09-21,136,1
12282,2016-09-21,118,1
12285,2016-09-21,118,1
12286,2016-09-21,126,1
12287,2016-09-21,128,1
12288,2016-09-21,100,1
12289,2016-09-21,131,1
12290,2016-09-21,135,1
12291,2016-09-21,135,1
12292,2016-09-21,143,1
12293,2016-09-21,133,1
12294,2016-09-21,125,1
12295,2016-09-21,117,1
12296,2016-09-21,85,1
12297,2016-09-21,123,1
12298,2016-09-21,116,1
12302,2016-09-21,91,1
12303,2016-09-21,100,1
12308,2016-09-21,121,1
12309,2016-09-21,84,1
12311,2016-09-21,111,1
12314,2016-09-21,102,1
12317,2016-09-21,95,1
12318,2016-09-21,96,1
12320,2016-09-21,100,1
12323,2016-09-21,87,1
12324,2016-09-21,104,1
12327,2016-09-21,107,1
12328,2016-09-21,93,1
12329,2016-09-21,108,1
12346,2016-09-22,93,1
12347,2016-09-22,109,1
12348,2016-09-22,96,1
12350,2016-09-22,104,1
12351,2016-09-22,113,1
12352,2016-09-22,112,1
12353,2016-09-22,110,1
12355,2016-09-22,117,1
12356,2016-09-22,115,1
12357,2016-09-22,108,1
12358,2016-09-22,98,1
12359,2016-09-22,103,1
12363,2016-09-22,95,1
12364,2016-09-22,101,1
12366,2016-09-22,105,1
12368,2016-09-22,97,1
12370,2016-09-22,116,1
12373,2016-09-22,110,1
12378,2016-09-22,111,1
12382,2016-09-22,121,1
12383,2016-09-22,114,1
12384,2016-09-22,110,1
12385,2016-09-22,115,1
12390,2016-09-22,82,1
12397,2016-09-22,82,1
12398,2016-09-22,92,1
12399,2016-09-22,103,1
12401,2016-09-22,103,1
12402,2016-09-22,123,1
12403,2016-09-22,121,1
12404,2016-09-22,121,1
12406,2016-09-22,125,1
12407,2016-09-22,123,1
12410,2016-09-22,119,1
12412,2016-09-22,147,1
12413,2016-09-22,122,1
12414,2016-09-22,94,1
12415,2016-09-22,103,1
12416,2016-09-22,87,1
12418,2016-09-22,103,1
12421,2016-09-22,102,1
12425,2016-09-22,90,1
12427,2016-09-22,106,1
12432,2016-09-22,110,1
12433,2016-09-22,136,1
12437,2016-09-22,100,1
12438,2016-09-22,103,1
12439,2016-09-22,130,1
12440,2016-09-22,128,1
12441,2016-09-22,82,1
12450,2016-09-23,122,1
12454,2016-09-23,98,1
12455,2016-09-23,119,1
12456,2016-09-23,118,1
12457,2016-09-23,112,1
12458,2016-09-23,120,1
12459,2016-09-23,90,1
12461,2016-09-23,106,1
12464,2016-09-23,112,1
12468,2016-09-23,132,1
12469,2016-09-23,131,1
12471,2016-09-23,133,1
12472,2016-09-23,112,1
12473,2016-09-23,97,1
